"T1","T2","T3"
"260",13.0517712305442,8.4120744134769,7.64903937940925
"261",7.70264155611349,14.2002490377018,7.22609482176243
"262",8.23210992439763,13.6969847312226,7.2711440754238
"263",11.1221215969693,10.7511159304555,7.50922114335654
"264",11.3472525777124,10.4971368927739,7.52658232723744
"265",12.8080057484927,8.73703437946327,7.63303791588645
"266",12.1171488242452,9.60514461568502,7.58468180751644
"267",11.8419789650717,9.93641356232676,7.56459891681982
"268",9.54218187102085,12.409253627939,7.38113110692999
"269",10.5728370700052,11.3423846018642,7.46539306898321
"270",4.11691032660769,17.412123951402,6.91690637366339
"271",3.54796777760711,17.8959736166172,6.86760444965861
"272",2.35686693112003,18.8873476367611,6.76432211178023
"273",14.5467240800894,5.74444443749201,7.70988950557197
"274",13.887210373312,7.13776220500294,7.69479806170685
"275",2.35686693112003,18.8873476367611,6.76432211178023
"276",13.8048942461354,0.105986290041879,7.31909738137096
"277",3.83056286466369,17.6574557487023,6.89209632417756
"278",2.55854649337593,18.720809201526,6.78181634254536
"279",2.35686693112003,18.8873476367611,6.76432211178023
"280",3.33192772215828,18.0774330512701,6.84887904296735
"281",13.2804230563235,8.08308721915767,7.66266993804846
"282",13.1069092571155,8.33274111010098,7.65232630747934
"283",14.0475281936694,0.593555519461261,7.3767705720293
"284",14.0686127806594,0.635924676522154,7.38178230026349
"285",13.8048942461354,0.105986290041879,7.31909738137096
"286",14.2321872389854,6.49693729675605,7.7073850207005
"287",14.1436293278185,0.786669287751471,7.39961345567602
"288",13.9430079627492,0.383523704183871,7.35192650026284
"289",14.78242042768,3.17780386504973,7.60823237809324
"290",13.8048942461354,0.105986290041879,7.31909738137096
"291",13.8048942461354,0.105986290041879,7.31909738137096
"292",13.8048942461354,0.105986290041879,7.31909738137096
"293",2.35686693112003,18.8873476367611,6.76432211178023
"294",2.35686693112003,18.8873476367611,6.76432211178023
"295",2.35686693112003,18.8873476367611,6.76432211178023
"296",14.5036905512488,5.85614554044289,7.71001116258542
"297",2.35686693112003,18.8873476367611,6.76432211178023
"298",2.35686693112003,18.8873476367611,6.76432211178023
"299",2.35686693112003,18.8873476367611,6.76432211178023
"300",2.35686693112003,18.8873476367611,6.76432211178023
"301",2.35686693112003,18.8873476367611,6.76432211178023
"302",2.35686693112003,18.8873476367611,6.76432211178023
"303",2.35686693112003,18.8873476367611,6.76432211178023
"304",2.35686693112003,18.8873476367611,6.76432211178023
"305",2.35686693112003,18.8873476367611,6.76432211178023
"306",2.35686693112003,18.8873476367611,6.76432211178023
"307",2.35686693112003,18.8873476367611,6.76432211178023
"308",13.7157232525396,-0.852679873613348,7.36482802514346
"309",2.35686693112003,18.8873476367611,6.76432211178023
"310",2.35686693112003,18.8873476367611,6.76432211178023
"311",2.35686693112003,18.8873476367611,6.76432211178023
"312",2.35686693112003,18.8873476367611,6.76432211178023
"313",2.35686693112003,18.8873476367611,6.76432211178023
"314",2.35686693112003,18.8873476367611,6.76432211178023
"315",2.35686693112003,18.8873476367611,6.76432211178023
"316",2.35686693112003,18.8873476367611,6.76432211178023
"317",2.35686693112003,18.8873476367611,6.76432211178023
"318",2.35686693112003,18.8873476367611,6.76432211178023
"319",2.35686693112003,18.8873476367611,6.76432211178023
"320",2.35686693112003,18.8873476367611,6.76432211178023
"321",2.35686693112003,18.8873476367611,6.76432211178023
"322",2.35686693112003,18.8873476367611,6.76432211178023
"323",2.35686693112003,18.8873476367611,6.76432211178023
"324",11.6699818468239,-28.6916541561753,8.2247633406781
"325",8.68479360908405,-30.8093879508812,5.28080095218421
"326",11.3627957275018,-35.3371509981664,8.13503665969717
"327",10.8900817521816,-35.1912783401841,7.44968635218005
"328",11.3995162994743,-36.3275805816506,7.98379517960681
"329",11.3736308031176,-34.8255059589007,8.16517601461206
"330",11.8371509919677,-24.637215817452,8.20348474091265
"331",7.99155564261406,-29.8113989256236,4.66710955560415
"332",11.814425390042,-25.1812046295695,8.20581162499589
"333",10.5730921464744,-34.4842277457536,7.11734346826981
"334",11.6477631102659,-29.2446246724435,8.22826606028371
"335",11.2039580263894,-35.8913845968581,7.77876511149295
"336",10.487025066525,-34.2922536906318,7.02710776007904
"337",10.2206812673707,-33.6981694111339,6.74786369425217
"338",10.6632875268003,-34.6854100436149,7.21190742958964
"339",11.3995162994743,-36.3275805816506,7.98379517960681
"340",11.7246534527211,-27.3493669981027,8.21676685141392
"341",10.9754759875945,-35.3817516043622,7.53921662684978
"342",11.2258197717535,-35.9401475839614,7.80168572267643
"343",11.3995162994743,-36.3275805816506,7.98379517960681
"344",11.1768845869036,-35.8309968392247,7.75038037964654
"345",11.36490663625,-35.0886556203344,8.15405132646482
"346",11.3995162994743,-36.3275805816506,7.98379517960681
"347",10.721072327927,-34.8143000048315,7.2724910168962
"348",11.3628700553586,-35.2730028949517,8.14059876180758
"349",11.3995162994743,-36.3275805816506,7.98379517960681
"350",11.7228809370819,-27.3925005075848,8.21700811352262
"351",11.7298385573193,-27.223189404286,8.21606109218589
"352",11.6860349962854,-28.2963467762999,8.22236049713993
"353",11.4970505266018,-32.7687287073297,8.240517756767
"354",11.3714679206968,-35.8597694894185,8.07370759340698
"355",11.690061653808,-28.1971906923963,8.22175778500348
"356",11.3843038069729,-34.5035729429908,8.17878577715854
"357",11.3793136825974,-34.6540915609676,8.17242258187179
"358",11.6776433043062,-28.5029914460572,8.22361656984361
"359",11.6741834046357,-28.5881911681827,8.22413444937783
"360",11.5137795288455,-32.4230860604331,8.24106243605484
"361",11.726782103034,-27.2975670836604,8.21647711480916
"362",11.7483997524481,-26.771509617434,8.21353467550568
"363",11.3863900244976,-34.4406457381771,8.181446033401
"364",11.3807638851355,-34.6103486669257,8.17427181873655
"365",11.5183748264607,-32.3281413166958,8.24121205426853
"366",11.4895623165232,-32.8827865550914,8.23781490883364
"367",11.3706703195006,-34.9148039140324,8.16140093127122
"368",11.5361704493472,-31.9604609190201,8.24179146163901
"369",11.5116629907913,-32.4668164518003,8.24099352372981
"370",11.786085560605,-25.8614032371672,8.20890102399707
"371",11.4805568921947,-33.0199540899631,8.2345644267719
"372",12.0422306457468,-19.7345771666706,8.19142904011915
"373",12.0734875836043,-18.9763423413839,8.19045313629714
"374",12.0234132520644,-20.1857818794918,8.19223156154903
"375",12.0523016241971,-19.4930945779462,8.19099953451585
"376",12.0792055152321,-18.8364352556253,8.19032359928863
"377",12.0393998314356,-19.8024546198348,8.1915497682703
"378",11.8501715244933,-24.326334729482,8.20227298040291
"379",11.5562892531239,-31.5447806238977,8.24244650941494
"380",8.6701952872247,-30.788372129897,5.26787773539156
"381",11.7971599199558,-25.5944928053262,8.20757944384902
"382",8.34847895381093,-30.3252276030212,4.98307719718581
"383",9.11402038941573,-31.5778342634884,5.68042878935807
"384",11.5429581654114,-31.8202179976185,8.24201246276615
"385",9.43083993958725,-32.1450374908897,5.97540085869542
"386",11.7049086821774,-27.8315839373008,8.21953547428096
"387",11.7402969545637,-26.96868819327,8.21463757020558
"388",11.6582433287977,-28.983549597324,8.22660636749059
"389",11.7978700216014,-25.5774949122925,8.20750673623837
"390",11.7701576557439,-26.2453854797176,8.21081143063083
"391",11.671212378361,-28.661352426354,8.22457915409469
"392",11.5986038464399,-30.4809927133346,8.23625902711101
"393",11.5925526202584,-30.6354037176934,8.23723592910033
"394",11.8868038123694,-23.4536082925137,8.19917325436058
"395",11.6797894848755,-28.4501419401299,8.2232953284495
"396",11.633538853989,-29.6001420472646,8.23053944098219
"397",11.581506614023,-30.9173094843939,8.23901887018547
"398",11.8415617384573,-24.5316345989095,8.20303312269654
"399",11.6136037198408,-30.1027861691538,8.23380323637683
"400",11.6012198686666,-30.415032374909,8.23583072995322
"401",11.7151715723976,-27.5801050326825,8.21805745691873
"402",11.7341919029721,-27.1172523553558,8.21546854601654
"403",11.7916549665732,-25.727138686243,8.20823302464621
"404",11.7906392184687,-25.7516258512782,8.2083548543491
"405",11.6740527650105,-28.5914081573521,8.22415400358306
"406",11.6940504922782,-28.0989658992989,8.22116073364194
"407",11.668827472916,-28.7200805111445,8.22493612794904
"408",11.7281674764589,-27.2638545361144,8.21628854772042
"409",11.7012739714184,-27.921088366957,8.2200795196274
"410",7.72768578252471,14.1768802294102,7.22823797241744
"411",5.63812729155563,16.0867096500285,7.04859366076877
"412",5.98810390539837,15.7739184074245,7.07881651160581
"413",6.40725060367858,15.3967693088949,7.11496886822892
"414",6.65204793176623,15.1732614896121,7.13602728540558
"415",5.50981184923387,16.2013914460731,7.03751275330242
"416",6.66776860499669,15.1589080102713,7.1373796387902
"417",6.27567628978498,15.5169008814154,7.10365033459398
"418",6.02936517389833,15.7370411906762,7.08237970158451
