X	Type	Cluster	halo	delta	Sex	Time	Size_Factor	CellType	peaks	rho	Pseudotime	State	
cell_41	cell_41	ES	FALSE	FALSE	0	0	4	1.184414688	1	2.665569548	2.7861816	9.621898982	1
cell_42	cell_42	ES	FALSE	FALSE	0	0	4	1.267253215	1	0.428912188	1.876163537	7.906237539	1
cell_43	cell_43	ES	FALSE	FALSE	0	0	4	1.245221692	1	0.21229568	1.229278852	8.341823021	1
cell_44	cell_44	ES	FALSE	FALSE	0	0	4	1.137046913	1	0.440744311	1.481064135	9.538666548	1
cell_45	cell_45	ES	FALSE	FALSE	0	0	4	1.173178611	1	0.313269889	1.90376403	9.568658498	1
cell_46	cell_46	ES	FALSE	FALSE	0	0	4	1.171856719	1	0.807087327	1.845145004	11.04443326	7
cell_47	cell_47	ES	FALSE	FALSE	0	0	5	1.306689641	1	0.46652734	0.445451501	11.20453554	7
cell_48	cell_48	ES	FALSE	FALSE	0	0	5	1.194769504	1	0.506117281	1.997896535	13.94254515	3
cell_49	cell_49	PGC	FALSE	FALSE	0	0	5	0.92598492	1	0.485044974	0.469277851	21.52253224	6
cell_50	cell_50	ES	FALSE	FALSE	0	0	5	1.36264971	1	0.308087402	2.179046555	11.44100607	7
cell_51	cell_51	ES	FALSE	FALSE	0	0	5	1.247645159	1	0.175643364	3.138552993	13.98872778	3
cell_52	cell_52	ES	FALSE	FALSE	0	0	5	1.176263024	1	0.243571637	4.460104737	13.89443077	3
cell_53	cell_53	ES	FALSE	FALSE	0	0	5	1.207107157	1	0.31202955	1.60141602	13.90385177	3
cell_54	cell_54	ES	FALSE	FALSE	0	0	5	0.849535535	1	0.293000626	0.66666141	22.20146724	6
cell_55	cell_55	PGC	FALSE	FALSE	0	0	5	1.234646561	1	0.079490186	4.279705117	13.99229209	3
cell_56	cell_56	ES	TRUE	FALSE	0	0	5	1.250729573	1	16.64389803	4.506307673	13.98095899	3
cell_57	cell_57	ES	FALSE	FALSE	0	0	5	1.124268629	1	0.114475495	2.154990867	13.79549737	3
cell_58	cell_58	ES	FALSE	FALSE	0	0	5	1.088577562	1	0.107242954	4.334701493	13.76014888	3
cell_59	cell_59	PGC	FALSE	FALSE	0	0	5	1.163264425	1	0.213001105	2.102822435	13.97903246	3
